,id,primary_title,release_year
417,tt0037077,The Miracle of Morgan's Creek,1943
418,tt0037094,Mr. Skeffington,1944
419,tt0037098,The Mummy's Curse,1944
420,tt0037099,The Mummy's Ghost,1944
421,tt0037101,"Murder, My Sweet",1944
422,tt0037120,National Velvet,1944
423,tt0037280,Since You Went Away,1944
424,tt0037365,The Thin Man Goes Home,1944
425,tt0037366,Thirty Seconds Over Tokyo,1944
426,tt0037382,To Have and Have Not,1944
427,tt0037415,The Uninvited,1944
428,tt0037469,The Woman in the Window,1944
429,tt0037514,Anchors Aweigh,1945
430,tt0037515,And Then There Were None,1945
431,tt0037522,Back to Bataan,1945
432,tt0037536,The Bells of St. Mary's,1945
433,tt0037547,Blood on the Sun,1945
434,tt0037549,The Body Snatcher,1945
435,tt0037558,Brief Encounter,1945
436,tt0037595,Christmas in Connecticut,1945
437,tt0037604,The Clock,1945
438,tt0037630,Les Dames du Bois de Boulogne,1945
439,tt0037635,Dead of Night,1945
440,tt0037638,Detour,1945
441,tt0037674,Children of Paradise,1945
442,tt0037793,House of Dracula,1945
443,tt0037800,I Know Where I'm Going!,1945
444,tt0037824,"Ivan the Terrible, Part I",1944
445,tt0037865,Leave Her to Heaven,1945
446,tt0037884,The Lost Weekend,1945
447,tt0037913,Mildred Pierce,1945
448,tt0037954,"Objective, Burma!",1945
449,tt0037988,The Picture of Dorian Gray,1945
450,tt0038032,Road to Utopia,1945
451,tt0038057,Scarlet Street,1945
452,tt0038109,Spellbound,1945
453,tt0038116,State Fair,1945
454,tt0038120,Story of G.I. Joe,1945
455,tt0038160,They Were Expendable,1945
456,tt0038166,The Three Caballeros,1944
457,tt0038190,A Tree Grows in Brooklyn,1945
458,tt0038235,A Walk in the Sun,1945
459,tt0038259,The Woman in Green,1945
460,tt0038279,13 Rue Madeleine,1946
461,tt0038300,Angel on My Shoulder,1946
462,tt0038303,Anna and the King of Siam,1946
463,tt0038343,Bedlam,1946
464,tt0038348,Beauty and the Beast,1946
465,tt0038355,The Big Sleep,1946
466,tt0038363,Blithe Spirit,1945
467,tt0038369,The Blue Dahlia,1946
468,tt0038417,Cloak and Dagger,1946
469,tt0038494,Dressed to Kill,1946
470,tt0038499,Duel in the Sun,1946
471,tt0038559,Gilda,1946
472,tt0038574,Great Expectations,1946
473,tt0038577,Green for Danger,1946
474,tt0038589,The Harvey Girls,1946
475,tt0038650,It's a Wonderful Life,1946
476,tt0038669,The Killers,1946
477,tt0038718,Make Mine Music,1946
478,tt0038733,A Matter of Life and Death,1946
479,tt0038762,My Darling Clementine,1946
480,tt0038776,Night and Day,1946
481,tt0038777,A Night in Casablanca,1946
482,tt0038787,Notorious,1946
483,tt0038823,Paisan,1946
484,tt0038854,The Postman Always Rings Twice,1946
485,tt0038873,The Razor's Edge,1946
486,tt0038890,"Rome, Open City",1945
487,tt0038913,Shoeshine,1946
488,tt0038969,Song of the South,1946
489,tt0038975,The Spiral Staircase,1946
490,tt0038988,The Strange Love of Martha Ivers,1946
491,tt0038991,The Stranger,1946
492,tt0039111,The Yearling,1946
493,tt0039152,Angel and the Badman,1947
494,tt0039169,The Bachelor and the Bobby-Soxer,1947
495,tt0039190,The Bishop's Wife,1947
496,tt0039192,Black Narcissus,1947
497,tt0039204,Body and Soul,1947
498,tt0039211,Born to Kill,1947
499,tt0039220,Brighton Rock,1948
500,tt0039224,Brute Force,1947
501,tt0039286,Crossfire,1947
502,tt0039302,Dark Passage,1947
503,tt0039305,Dead Reckoning,1947
504,tt0039335,A Double Life,1947
505,tt0039370,The Farmer's Daughter,1947
506,tt0039402,The Fugitive,1947
507,tt0039404,Fun and Fancy Free,1947
508,tt0039416,Gentleman's Agreement,1947
509,tt0039417,Germany Year Zero,1948
510,tt0039420,The Ghost and Mrs. Muir,1947
511,tt0039428,Golden Earrings,1947
512,tt0039536,Kiss of Death,1947
513,tt0039545,Lady in the Lake,1946
514,tt0039566,Life with Father,1947
515,tt0039628,Miracle on 34th Street,1947
516,tt0039631,Monsieur Verdoux,1947
517,tt0039645,My Favorite Brunette,1947
518,tt0039661,Nightmare Alley,1947
519,tt0039677,Odd Man Out,1947
520,tt0039689,Out of the Past,1947
521,tt0039694,The Paradine Case,1947
522,tt0039698,The Perils of Pauline,1947
523,tt0039739,Quai des Orfèvres,1947
524,tt0039808,The Secret Life of Walter Mitty,1947
525,tt0039853,Song of the Thin Man,1947
526,tt0039881,T-Men,1947
527,tt0040064,3 Godfathers,1948
528,tt0040068,Abbott and Costello Meet Frankenstein,1948
529,tt0040160,The Big Clock,1948
530,tt0040185,The Boy with Green Hair,1948
531,tt0040202,Call Northside 777,1948
532,tt0040308,Easter Parade,1948
533,tt0040338,The Fallen Idol,1948
534,tt0040366,Force of Evil,1948
535,tt0040367,A Foreign Affair,1948
536,tt0040369,Fort Apache,1948
537,tt0040416,Hamlet,1948
538,tt0040427,He Walked by Night,1948
539,tt0040458,I Remember Mama,1948
540,tt0040491,Joan of Arc,1948
541,tt0040495,Johnny Belinda,1948
542,tt0040497,Jour de Fête,1949
543,tt0040506,Key Largo,1948
544,tt0040522,Bicycle Thieves,1948
545,tt0040525,The Lady from Shanghai,1947
546,tt0040536,Letter from an Unknown Woman,1948
547,tt0040558,Macbeth,1948
548,tt0040580,Melody Time,1948
549,tt0040613,Mr. Blandings Builds His Dream House,1948
550,tt0040636,The Naked City,1948
551,tt0040662,Oliver Twist,1948
552,tt0040679,The Paleface,1948
553,tt0040705,Portrait of Jennie,1948
554,tt0040723,Raw Deal,1948
555,tt0040724,Red River,1948
556,tt0040725,The Red Shoes,1948
557,tt0040746,Rope,1948
558,tt0040806,The Snake Pit,1948
559,tt0040823,"Sorry, Wrong Number",1948
560,tt0040866,La Terra Trema,1948
561,tt0040872,They Live by Night,1948
562,tt0040876,The Three Musketeers,1948
563,tt0040897,The Treasure of the Sierra Madre,1948
564,tt0040919,Unfaithfully Yours,1948
565,tt0040979,Drunken Angel,1948
566,tt0041085,Bud Abbott Lou Costello Meet the Killer Boris Karloff,1949
567,tt0041088,Act of Violence,1949
568,tt0041090,Adam's Rib,1949
569,tt0041094,The Adventures of Ichabod and Mr. Toad,1949
570,tt0041113,All the King's Men,1949
571,tt0041154,Late Spring,1949
572,tt0041163,Battleground,1949
573,tt0041268,Criss Cross,1949
